1,27,128 CLEAN GUITAR 2,DSP,4
2,27,129 CLEAN GUITAR 3,DSP,4
3,27,130 CLEAN GUITAR 4,,4
4,27,131 CLEAN GUITAR 5,,4
33,27,132 CLEAN GUITAR 6,,4
7,27,133 CLEAN GUITAR 7,,4
5,27,134 CHORUS CLEAN GUITAR 1,DSP,4
6,27,135 CHORUS CLEAN GUITAR 2,,4
34,27,136 WAH CLEAN GUITAR,DSP,4
3,29,137 CRUNCH ELEC.GUITAR 1,DSP,4
32,29,138 CRUNCH ELEC.GUITAR 2,DSP,4
8,27,139 CRUNCH ELEC.GUITAR 3,,4
4,29,140 CHORUS CRUNCH GUITAR,DSP,4
1,28,141 MUTE GUITAR,,4
2,28,142 CRUNCH MUTE GUITAR,DSP,4
5,28,143 OVERDRIVE MUTE GT,,4
3,28,144 PHASER MUTE GUITAR,DSP,4
4,28,145 AMBIENT MUTE GUITAR,DSP,4
5,29,146 HUM BLUES GUITAR,DSP,4
1,29,147 OVERDRIVE GUITAR 1,DSP,4
2,29,148 OVERDRIVE GUITAR 2,,4
6,29,149 LFO WAH OD GUITAR,DSP,4
33,29,150 WAH OD GUITAR,DSP,4
34,29,151 CRY OD GUITAR,DSP,4
35,29,152 FLANGER OD GUITAR,DSP,4
1,30,153 DISTORTION GT 1,DSP,4
2,30,154 DISTORTION GT 2,DSP,4
3,30,155 DISTORTION GT 3,DSP,4
5,30,156 DISTORTION GT 4,,4
4,30,157 WAH DIST GUITAR,DSP,4
36,29,158 PHASER DRIVE GUITAR,DSP,4
37,29,159 VINTAGE OD GUITAR,DSP,4
35,30,160 AMP GUITAR 1,DSP,4
36,30,161 AMP GUITAR 2,DSP,4
32,30,162 METAL AMBIENT GUITAR,DSP,4
33,30,163 FRONT DRIVE GUITAR,DSP,4
35,27,164 UPPER OCT GUITAR,DSP,4
40,29,165 C+R CRUNCH GUITAR,DSP,4
34,30,166 OCT METAL GUITAR,DSP,4
40,25,167 MANDOLIN,,4
3,24,168 UKULELE,,4
8,24,169 VERSATILE NYLON GUITAR,,4
8,25,170 VERSATILE STEEL GUITAR,,4
9,27,171 VERSATILE SINGLE COIL E.GUITAR,,4
1,32,172 ACOUSTIC BASS 1,,3
6,33,173 FINGERED BASS 1,,3
5,33,174 FINGERED BASS 2,,3
33,33,175 FINGERED BASS VELO.SLAP 1,,3
32,33,176 FINGERED BASS VELO.SLAP 2,,3
1,36,177 SLAP BASS 1,,3
5,36,178 FINGER SLAP BASS 1,,3
39,33,179 CHORUS FINGERED BASS 1,DSP,3
40,33,180 PHASER FINGERED BASS,DSP,3
38,33,181 AMP FINGERED BASS,DSP,3
36,33,182 WAH FINGERED BASS 1,DSP,3
36,36,183 WAH SLAP BASS 1,DSP,3
3,39,184 SYNTH-BASS 1,,3
32,32,185 ACOUSTIC BASS 2,DSP,3
33,32,186 RIDE BASS,,3
1,33,187 FINGERED BASS 3,,3
2,33,188 FINGERED BASS 4,,3
3,33,189 FINGERED BASS 5,,3
4,33,190 FINGERED BASS 6,,3
7,33,191 FINGERED BASS 7,,3
8,33,192 CHORUS FINGERED BASS 2,DSP,3
9,33,193 WAH FINGERED BASS 2,DSP,3
1,34,194 PICKED BASS 1,,3
2,34,195 PICKED BASS 2,,3
5,34,196 MUTE PICKED BASS,,3
32,36,197 SLAP BASS 2,,3
2,36,198 SLAP BASS 3,,3
33,36,199 CHORUS SLAP BASS,,3
3,36,200 AMP SLAP BASS,DSP,3
34,36,201 WAH SLAP BASS 2,DSP,3
32,35,202 FRETLESS BASS,,3
33,35,203 CHORUS FRETLESS BASS,DSP,3
34,35,204 AMP FRETLESS BASS,DSP,3
4,36,205 FINGER SLAP BASS 2,,3
35,36,206 FINGER SLAP BASS 3,,3
6,38,207 SYNTH-BASS 2,DSP,3
1,38,208 SYNTH-BASS 3,,3
2,38,209 SYNTH-BASS 4,,3
1,39,210 SYNTH-BASS 5,,3
2,39,211 SYNTH-BASS 6,,3
32,38,212 SYNTH-BASS 7,DSP,3
33,39,213 SYNTH-BASS 8,,3
4,39,214 SYNTH-BASS 9,,3
5,39,215 SYNTH-BASS 10,,3
4,38,216 SYNTH-BASS 11,,3
5,38,217 SYNTH-BASS 12,,3
6,39,218 SYNTH-BASS 13,,3
7,39,219 ORGAN BASS,,4
10,33,220 VERSATILE ELECTRIC BASS 1,,3
24,33,221 VERSATILE ELECTRIC BASS 2,,3
32,48,222 STEREO STRINGS,DSP,4
1,49,223 MELLOW STRINGS 1,,4
1,48,224 MELLOW STRINGS 2,,4
2,49,225 BRIGHT STRINGS 1,,4
38,48,226 BRIGHT STRINGS 2,DSP,4
3,48,227 STRINGS,,4
37,49,228 SLOW STEREO STRINGS,DSP,4
2,48,229 SLOW STRINGS 1,DSP,4
32,49,230 SLOW STRINGS 2,,4
4,48,231 STRING ENSEMBLE,,4
5,48,232 WARM STRINGS,,4
32,45,233 PIZZICATO STRINGS,,4
33,48,234 CHAMBER,,4
34,48,235 OCTAVE STRINGS,,4
4,55,236 ORCHESTRA HIT 1,,4
32,55,237 ORCHESTRA HIT 2,,4
33,55,238 ORCHESTRA HIT 3,DSP,4
36,48,239 BRASS & STRINGS,DSP,4
32,40,240 SOLO VIOLIN,,4
33,40,241 VIOLIN,,4
34,40,242 SLOW VIOLIN,,4
32,41,243 VIOLA,,4
32,42,244 CELLO,,3
33,42,245 SLOW CELLO,,3
32,43,246 CONTRABASS,,3
32,46,247 HARP 1,,4
34,46,248 HARP 2,DSP,4
6,48,249 VIOLIN SECTION,,4
37,48,250 STRING QUARTET,,4
3,49,251 HARP & STRINGS,,4
1,61,252 STEREO BRASS,DSP,4
1,56,253 SOLO TRUMPET,,4
32,62,254 SYNTH-BRASS 1,,4
2,61,255 BRASS,,4
3,61,256 BRASS SECTION 1,,4
4,61,257 BRASS SECTION 2,,4
37,61,258 BRASS SECTION 3,,4
38,61,259 AMBIENT BRASS,DSP,4
32,61,260 BIG BAND BRASS,,4
5,61,261 HARD BRASS,,4
33,61,262 BRASS SFZ,,4
34,61,263 BRASS VELO.FALL,,4
35,61,264 BRASS VELO.SHAKE,,4
36,61,265 BRASS VELO.GLISSANDO,,4
33,62,266 SYNTH-BRASS 2,,4
1,62,267 SYNTH-BRASS 3,,4
34,62,268 SYNTH-BRASS 4,,4
37,62,269 SYNTH-BRASS 5,DSP,4
35,62,270 WARM SYNTH-BRASS 1,,4
38,62,271 WARM SYNTH-BRASS 2,DSP,4
36,62,272 ANALOG SYNTH-BRASS,,4
2,62,273 80’S SYNTH-BRASS,,4
32,63,274 TRANCE BRASS,,4
32,56,275 TRUMPET 1,DSP,4
2,56,276 TRUMPET 2,,4
36,56,277 TRUMPET 3,DSP,4
3,56,278 MELLOW TRUMPET,,4
1,59,279 MUTE TRUMPET,,4
33,56,280 AMBIENT TRUMPET,DSP,4
32,57,281 TROMBONE,,3
33,57,282 JAZZ TROMBONE,,3
32,60,283 FRENCH HORN,,4
1,60,284 FRENCH HORN SECTION,,4
32,58,285 TUBA,,2
39,61,286 TRUMPET & TROMBONE & SAX,,4
8,61,287 VERSATILE BRASS 1,,4
9,61,288 VERSATILE BRASS 2,,4
1,66,289 SOLO TENOR SAX,,3
32,65,290 SOLO ALTO SAX,,4
36,65,291 VELO.ALTO SAX,,4
33,65,292 BREATHY ALTO SAX,DSP,4
32,64,293 SOLO SOPRANO SAX,,4
35,64,294 VELO.SOPRANO SAX,,4
34,64,295 BREATHY S.SAX,,4
37,65,296 ALTO SAX GROWL,,4
32,68,297 SOLO OBOE,,4
32,70,298 SOLO BASSOON,,3
39,65,299 ALTO SAX 1,DSP,4
1,65,300 ALTO SAX 2,DSP,4
2,66,301 TENOR SAX,DSP,3
3,66,302 BREATHY TENOR SAX,DSP,3
36,64,303 SOPRANO SAX 1,,4
33,64,304 SOPRANO SAX 2,,4
1,67,305 BARITONE SAX,,3
38,65,306 AMBIENT SAX 1,DSP,4
33,67,307 AMBIENT SAX 2,DSP,3
2,65,308 HARD ALTO SAX,,4
4,66,309 TENOR SAXYS,,4
40,65,310 SAX SECTION 1,,4
41,65,311 SAX SECTION 2,,4
32,71,312 CLARINET,,4
1,71,313 VELO.CLARINET,,4
1,68,314 OBOE,,4
32,69,315 ENGLISH HORN,,4
33,70,316 BASSOON,,3
32,73,317 SOLO FLUTE 1,,4
33,73,318 SOLO FLUTE 2,,4
1,73,319 FLUTE 1,,4
36,73,320 FLUTE 2,,4
2,73,321 JAZZ FLUTE 1,,4
37,73,322 JAZZ FLUTE 2,DSP,4
32,72,323 PICCOLO,,5
32,74,324 RECORDER,,4
32,75,325 PAN FLUTE 1,,4
33,75,326 PAN FLUTE 2,,4
32,76,327 BOTTLE BLOW,,4
1,78,328 WHISTLE,,4
32,79,329 OCARINA,,4
32,77,330 SHAKUHACHI,,4
33,72,331 PIPE SECTION,,4
38,73,332 FLUTE & OBOE,,4
16,81,333 SUPER SAW LEAD 1,,4
17,81,334 SUPER SAW LEAD 2,DSP,4
18,81,335 TRANCE POLY LEAD,,4
38,81,336 TRANCE PLUCK,DSP,4
39,81,337 PROGRESSIVE PLUCK,DSP,4
40,81,338 SAW PLUCK,DSP,4
38,80,339 DIRTY PLUCK,DSP,4
43,81,340 POP LEAD,,4
44,81,341 HOUSE CHORD SYNTH,DSP,4
19,81,342 POPULAR PLUCK 1,DSP,4
20,81,343 POPULAR PLUCK 2,DSP,4
16,85,344 VOCAL CHOP SYNTH 1,,4
17,85,345 VOCAL CHOP SYNTH 2,,4
45,81,346 DSP MODULATED SYNTH 1,DSP,4
46,81,347 DSP MODULATED SYNTH 2,DSP,4
47,81,348 DSP MODULATED SYNTH 3,DSP,4
7,81,349 X SYNTH LEAD 1,,4
36,80,350 X SYNTH LEAD 2,,4
