"Tone","PC","Bank Sel","Mono-compatible on CT-X","Mono-compatible on CDP-S"
"GM CRYSTAL",98,0,0,0
"GM BRIGHTNESS",100,0,0,0
"STANDARD SET 1",0,120,0,0
"STANDARD SET 2",1,120,0,0
"STANDARD SET 3",2,120,0,0
"STANDARD SET 4",3,120,0,0
"STANDARD SET 5",4,120,0,0
"DANCE SET 1",26,120,0,0
"DANCE SET 2",27,120,0,0
"DANCE SET 3",28,120,0,0
"DANCE SET 4",29,120,0,0
"DANCE SET 5",34,120,0,0
"DANCE SET 6",35,120,0,0
"TRANCE SET",31,120,0,0
"HIP-HOP SET",9,120,0,0
"ROOM SET",8,120,0,0
"POWER SET",16,120,0,0
"ROCK SET",17,120,0,0
"ELECTRONIC SET",24,120,0,0
"DRUM MACHINE SET 1",25,120,0,0
"DRUM MACHINE SET 2",30,120,0,0
"DRUM MACHINE SET 3",33,120,0,0
"JAZZ SET",32,120,0,0
"BRUSH SET",40,120,0,0
"ORCHESTRA SET",48,120,0,0
"LATIN SET 1",49,120,0,0
"LATIN SET 2",50,120,0,0
"INDONESIAN SET",53,120,0,0
"INDIAN SET",54,120,0,0
"ARABIC SET",52,120,0,0
"CHINESE SET",51,120,0,0
"SNARE SET 1",64,120,0,0
"KICK SET",66,120,0,0
"CYMBAL SET",67,120,0,0
"TOM SET",68,120,0,0
